TimeStep,Time,"Points:0","Points:1","Points:2"
1,1.00000e+00,4.69885e+00,2.04208e+00,1.92945e-02
1,1.00000e+00,1.61595e-01,2.15867e+00,3.55168e-02
1,1.00000e+00,6.71751e-01,2.17184e+00,7.08544e-02
1,1.00000e+00,1.09597e+00,2.17108e+00,7.44320e-02
1,1.00000e+00,1.59848e+00,2.14009e+00,8.29416e-02
1,1.00000e+00,2.07896e+00,2.19652e+00,3.03931e-02
1,1.00000e+00,2.57199e+00,2.12953e+00,8.27236e-02
1,1.00000e+00,3.09758e+00,2.12056e+00,2.38205e-02
1,1.00000e+00,3.41826e+00,2.18270e+00,6.17795e-04
1,1.00000e+00,3.92900e+00,2.16673e+00,7.51119e-02
1,1.00000e+00,4.47624e+00,2.19308e+00,7.49760e-02
1,1.00000e+00,4.91735e+00,2.11005e+00,7.20873e-02
1,1.00000e+00,4.96765e-01,2.25014e+00,9.53850e-02
1,1.00000e+00,8.30088e-01,2.24387e+00,4.32697e-03
1,1.00000e+00,1.37105e+00,2.21903e+00,7.82550e-02
1,1.00000e+00,1.86300e+00,2.24372e+00,8.02047e-02
1,1.00000e+00,2.34266e+00,2.29894e+00,9.25063e-02
1,1.00000e+00,2.86250e+00,2.29782e+00,8.31986e-02
1,1.00000e+00,3.24351e+00,2.25466e+00,7.82794e-02
1,1.00000e+00,3.73208e+00,2.22222e+00,5.02916e-02
1,1.00000e+00,4.25981e+00,2.24737e+00,6.95044e-02
1,1.00000e+00,4.70476e+00,2.20654e+00,1.45610e-02
1,1.00000e+00,2.07753e-01,2.39950e+00,8.56777e-02
1,1.00000e+00,6.75143e-01,2.34349e+00,5.21162e-02
1,1.00000e+00,1.17638e+00,2.34669e+00,5.19492e-02
1,1.00000e+00,1.61720e+00,2.30959e+00,6.91926e-02
1,1.00000e+00,2.13047e+00,2.38296e+00,1.00073e-01
1,1.00000e+00,2.63981e+00,2.39726e+00,6.95206e-02
1,1.00000e+00,3.04971e+00,2.32006e+00,5.86212e-02
1,1.00000e+00,3.57962e+00,2.35959e+00,7.11467e-02
1,1.00000e+00,4.01872e+00,2.36103e+00,6.36310e-03
1,1.00000e+00,4.58321e+00,2.36999e+00,8.58943e-02
1,1.00000e+00,9.98058e-02,2.49653e+00,2.09102e-02
1,1.00000e+00,4.27117e-01,2.41562e+00,8.89462e-02
1,1.00000e+00,9.46343e-01,2.46515e+00,6.13002e-02
1,1.00000e+00,1.50022e+00,2.45425e+00,9.43523e-02
1,1.00000e+00,1.99623e+00,2.49454e+00,9.60705e-03
1,1.00000e+00,2.47972e+00,2.45462e+00,7.47763e-02
1,1.00000e+00,2.82716e+00,2.41726e+00,4.84146e-02
1,1.00000e+00,3.31617e+00,2.48349e+00,7.48856e-02
